per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_mat;tasa_ret_1er_anio;tasa_ret_2do_anio;tasa_ret_1er_anio2;tasa_ret_2do_anio3
5;0.16145833333333331;3;1;100;0.7142857142857224;0.5889400921658985;0.4518905526534329;0,588940092;0,451890553
5;0.16666666666666666;8;1;101;0.7142857142857224;0.7142857142857142;0.4518905526534329;0,714285714;0,451890553
5;0.17187499999999997;9;1;102;0.7142857142857224;0.13300492610837433;0.4518905526534329;0,133004926;0,451890553
5;0.17708333333333331;4;1;104;0.7142857142857224;0.4754063301967495;0.4518905526534329;0,47540633;0,451890553
5;0.18229166666666666;9;1;106;0.7142857142857224;0.17454247473367923;0.4518905526534329;0,174542475;0,451890553
5;0.18749999999999997;9;1;108;0.7142857142857224;0.2664558781258981;0.4518905526534329;0,266455878;0,451890553
5;0.19270833333333331;0;1;110;0.7142857142857224;0.23168710639708334;0.4518905526534329;0,231687106;0,451890553
5;0.19791666666666666;5;1;49;0.7142857142857224;0.40816326530612246;0.4518905526534329;0,408163265;0,451890553
5;0.20312499999999997;8;1;50;0.7142857142857224;0.43921916592724064;0.4518905526534329;0,439219166;0,451890553
5;0.20833333333333331;1;1;51;0.7142857142857224;0.5046562314246088;0.4518905526534329;0,504656231;0,451890553
5;0.21874999999999997;0;3;0;0.7142857142857224;0.6392923158172696;0.511646866662467;0,639292316;0,511646867
5;0.22916666666666666;0;3;2;0.7142857142857224;0.7210789210789208;0.7781500885613042;0,721078921;0,778150089
5;0.24479166666666666;0;3;5;0.7142857142857224;0.6687500000000002;0.11250481001186863;0,66875;0,11250481
5;0.265625;9;3;7;0.7142857142857224;0.6460554371002134;0.23151371974878998;0,646055437;0,23151372
5;0.2760416666666667;9;3;13;0.7142857142857224;0.5906022144207399;0.03706411206944615;0,590602214;0,037064112
5;0.296875;9;3;17;0.7142857142857224;0.671983356449376;0.6276485631262965;0,671983356;0,627648563
5;0.3020833333333333;9;3;18;0.7142857142857224;0.6525896414342631;0.914489323570864;0,652589641;0,914489324
5;0.3125;9;3;20;0.7142857142857224;0.4802065404475042;0.8108040702119776;0,48020654;0,81080407
5;0.3229166666666667;0;3;21;0.7142857142857224;0.6962406015037594;0.9888742069628709;0,696240602;0,988874207
5;0.34375;9;3;23;0.7142857142857224;0.7689678742310322;0.8833561914827683;0,768967874;0,883356191
5;0.375;9;3;30;0.7142857142857224;0.6618266978922718;0.8816809691297287;0,661826698;0,881680969
5;0.3958333333333333;8;3;32;0.7142857142857224;0.5387755102040817;0.564277615545878;0,53877551;0,564277616
5;0.4010416666666667;8;3;33;0.7142857142857224;0.463917525773196;0.7275901189362557;0,463917526;0,727590119
5;0.40625;6;3;37;0.7142857142857224;0.618638871857756;0.8382270203287554;0,618638872;0,83822702
5;0.4375;8;3;48;0.7142857142857224;0.6197711128650356;0.8927333910541897;0,619771113;0,892733391
5;0.4427083333333333;0;3;55;0.7142857142857224;0.40504382592649546;0.13279741272257972;0,405043826;0,132797413
5;0.4583333333333333;0;3;58;0.7142857142857224;0.3913043478260869;0.8820169594743863;0,391304348;0,882016959
5;0.4635416666666667;0;3;53;0.7142857142857224;0.5777027027027029;0.8621656440603758;0,577702703;0,862165644
5;0.4791666666666667;0;3;63;0.7142857142857224;0.5380742605412208;0.3311665596672757;0,538074261;0,33116656
5;0.484375;9;3;64;0.7142857142857224;0.2888126590682749;0.3611838613296392;0,288812659;0,361183861
5;0.5104166666666666;6;3;70;0.7142857142857224;0.2603672189879087;0.8917121586790202;0,260367219;0,891712159
5;0.5260416666666666;9;3;73;0.7142857142857224;0.2396103896103896;0.37412244125047955;0,23961039;0,374122441
5;0.5416666666666666;8;3;77;0.7142857142857224;0.6149068322981366;0.7275901189362557;0,614906832;0,727590119
5;0.5468749999999999;2;3;78;0.7142857142857224;0.22040816326530632;0.855524773870366;0,220408163;0,855524774
5;0.5572916666666666;3;3;80;0.7142857142857224;0.2678571428571428;0.6271399680413818;0,267857143;0,627139968
5;0.5677083333333333;8;3;84;0.7142857142857224;0.7555228276877759;0.37412244125047955;0,755522828;0,374122441
5;0.5729166666666666;0;3;85;0.7142857142857224;0.33299999999999996;0.9938370242651473;0,333;0,993837024
5;0.5937499999999999;9;3;91;0.7142857142857224;0.2422828427853554;0.37412244125047955;0,242282843;0,374122441
5;0.5989583333333333;2;3;94;0.7142857142857224;0.30894308943089444;0.37412244125047955;0,308943089;0,374122441
5;0.6041666666666666;8;3;95;0.7142857142857224;0.5766806722689075;0.8667131029590944;0,576680672;0,866713103
5;0.6145833333333333;8;3;101;0.7142857142857224;0.8423645320197044;0.37412244125047955;0,842364532;0,374122441
